Date,Place,Amount,,,,,,,,,,,,,,,,
2013,Allston,10158,,,,,,,,,,,,,,,,
2013,Back Bay,4832,,,,,,,,,,,,,,,,
2013,Beacon Hill,2049,,,,,,,,,,,,,,,,
2013,Brighton,329,,,,,,,,,,,,,,,,
2013,Charleston,4246,,,,,,,,,,,,,,,,
2013,Dorchester,24727,,,,,,,,,,,,,,,,
2013,East Boston,35936,,,,,,,,,,,,,,,,
2013,Matapan,31376,,,,,,,,,,,,,,,,
2013,Hyde Park,9115,,,,,,,,,,,,,,,,
2013,Jamaica Plain,41476,,,,,,,,,,,,,,,,
2013,Roxbury,52468,,,,,,,,,,,,,,,,
2013,Roslindale,30876,,,,,,,,,,,,,,,,
2013,South Boston,31859,,,,,,,,,,,,,,,,
2013,South End,4465,,,,,,,,,,,,,,,,
2013,west roxubry,36792,,,,,,,,,,,,,,,,
2014,Allston,10349,,,,,,,,,,,,,,,,
2014,Back Bay,5291,,,,,,,,,,,,,,,,
2014,Beacon Hill,2867,,,,,,,,,,,,,,,,
2014,Brighton,455,,,,,,,,,,,,,,,,
2014,Charleston,4317,,,,,,,,,,,,,,,,
2014,Dorchester,23077,,,,,,,,,,,,,,,,
2014,East Boston,36184,,,,,,,,,,,,,,,,
2014,Matapan,30108,,,,,,,,,,,,,,,,
2014,Hyde Park,7269,,,,,,,,,,,,,,,,
2014,Jamaica Plain,44772,,,,,,,,,,,,,,,,
2014,Roxbury,39459,,,,,,,,,,,,,,,,
2014,Roslindale,28924,,,,,,,,,,,,,,,,
2014,South Boston,35285,,,,,,,,,,,,,,,,
2014,South End,5011,,,,,,,,,,,,,,,,
2014,west roxubry,35588,,,,,,,,,,,,,,,,
2015,Allston,14560,,,,,,,,,,,,,,,,
2015,Back Bay,8990,,,,,,,,,,,,,,,,
2015,Beacon Hill,6215,,,,,,,,,,,,,,,,
2015,Brighton,807,,,,,,,,,,,,,,,,
2015,Charleston,6582,,,,,,,,,,,,,,,,
2015,Dorchester,30452,,,,,,,,,,,,,,,,
2015,East Boston,44352,,,,,,,,,,,,,,,,
2015,Matapan,41676,,,,,,,,,,,,,,,,
2015,Hyde Park,10659,,,,,,,,,,,,,,,,
2015,Jamaica Plain,57116,,,,,,,,,,,,,,,,
2015,Roxbury,75104,,,,,,,,,,,,,,,,
2015,Roslindale,34004,,,,,,,,,,,,,,,,
2015,South Boston,55843,,,,,,,,,,,,,,,,
2015,South End,9687,,,,,,,,,,,,,,,,
2015,west roxubry,42244,,,,,,,,,,,,,,,,
2016,Allston,14826,,,,,,,,,,,,,,,,
2016,Back Bay,11535,,,,,,,,,,,,,,,,
2016,Beacon Hill,6999,,,,,,,,,,,,,,,,
2016,Brighton,622,,,,,,,,,,,,,,,,
2016,Charleston,6554,,,,,,,,,,,,,,,,
2016,Dorchester,30922,,,,,,,,,,,,,,,,
2016,East Boston,40524,,,,,,,,,,,,,,,,
2016,Matapan,37580,,,,,,,,,,,,,,,,
2016,Hyde Park,8675,,,,,,,,,,,,,,,,
2016,Jamaica Plain,54728,,,,,,,,,,,,,,,,
2016,Roxbury,75724,,,,,,,,,,,,,,,,
2016,Roslindale,31760,,,,,,,,,,,,,,,,
2016,South Boston,73008,,,,,,,,,,,,,,,,
2016,South End,11170,,,,,,,,,,,,,,,,
2016,west roxubry,25338,,,,,,,,,,,,,,,,
2017,Allston,17279,,,,,,,,,,,,,,,,
2017,Back Bay,12868,,,,,,,,,,,,,,,,
2017,Beacon Hill,6535,,,,,,,,,,,,,,,,
2017,Brighton,682,,,,,,,,,,,,,,,,
2017,Charleston,7035,,,,,,,,,,,,,,,,
2017,Dorchester,32733,,,,,,,,,,,,,,,,
2017,East Boston,48632,,,,,,,,,,,,,,,,
2017,Matapan,38532,,,,,,,,,,,,,,,,
2017,Hyde Park,9457,,,,,,,,,,,,,,,,
2017,Jamaica Plain,62080,,,,,,,,,,,,,,,,
2017,Roxbury,86636,,,,,,,,,,,,,,,,
2017,Roslindale,33788,,,,,,,,,,,,,,,,
2017,South Boston,79552,,,,,,,,,,,,,,,,
2017,South End,13437,,,,,,,,,,,,,,,,
2017,west roxubry,32868,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
